Sample	X2009_106	X2009_107	X2009_109	X2009_110	X2009_111	X2009_115	X2009_118	X2009_173	X2009_193	X2009_245	X2009_265	X2011_109	X2011_118	X2011_119	X2011_149	X2011_56	X2011_60	X2011_62	X2011_66	X2011_69	X2011_70	X2011_79	X2011_85	HU100_S17	HU101_S15	HU103_S22	HU107_S1	HU108_S18	HU109_S19	HU112_S2	HU113_S3	HU114_S27	HU115_S28	HU117_S4	HU118_S5	HU119_S20	HU122_S6	HU123_S7	HU124_S23	HU500_S8	HU502_S24	HU503_S9	HU504_S25	HU505_S21	HU506_S10	HU508_S26	HU537_S11	HU538_S12	HU539_S13	HU540_S14	HU99_S16
Mineral.absorption	5.32E-05	3.71E-05	6.84E-05	5.70E-05	0.000100533	4.37E-05	0.000108239	9.06E-05	4.44E-05	8.49E-05	3.79E-05	6.34E-05	2.75E-05	5.15E-05	7.31E-05	0.000120561	4.50E-05	0.000105244	0.000145297	6.29E-05	1.44E-05	6.89E-05	7.11E-05	8.74E-05	7.54E-06	4.33E-05	1.02E-05	3.94E-05	1.65E-05	7.83E-06	2.30E-05	6.25E-05	2.66E-05	4.56E-05	4.26E-05	0.000112278	2.57E-05	2.34E-05	5.86E-05	4.40E-05	5.49E-07	1.11E-05	1.19E-05	3.20E-05	4.78E-05	6.92E-06	4.92E-05	3.32E-05	4.43E-05	2.34E-05	6.37E-05
Cholinergic.synapse	1.68E-07	9.16E-07	4.25E-07	3.69E-07	5.63E-07	2.40E-07	1.06E-06	7.00E-07	5.58E-07	2.52E-06	7.25E-07	1.49E-06	1.80E-06	3.34E-05	6.47E-06	3.65E-06	6.23E-06	2.89E-06	1.33E-06	7.06E-06	1.14E-06	1.36E-06	4.89E-06	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	4.05E-08	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	9.01E-09	0	0	4.69E-08	0	0
Selenocompound.metabolism	0.003762344	0.003987353	0.003654155	0.003504254	0.003659381	0.003906921	0.003946088	0.003758236	0.003878704	0.003734429	0.003789796	0.003971461	0.003956593	0.004069991	0.003997328	0.004082238	0.003740143	0.003822728	0.004079747	0.004115929	0.003792234	0.004013847	0.003864802	0.004895912	0.004244253	0.003680008	0.004274359	0.003957767	0.004434638	0.004024458	0.00372196	0.004675239	0.004447293	0.003834704	0.003859332	0.004438452	0.004022688	0.003911393	0.00409486	0.004104301	0.004053831	0.004498834	0.003909802	0.004181721	0.003966796	0.004382474	0.004104448	0.003963958	0.004239012	0.003836643	0.004078014
Limonene.and.pinene.degradation	2.05E-05	3.49E-05	4.26E-05	4.31E-05	5.22E-05	4.13E-05	2.77E-05	2.92E-05	4.08E-05	3.45E-05	3.64E-05	5.32E-05	4.05E-05	5.58E-05	4.89E-05	4.62E-05	3.24E-05	3.46E-05	3.11E-05	2.99E-05	3.45E-05	2.28E-05	3.76E-05	5.58E-05	2.04E-05	3.11E-05	2.58E-05	7.26E-05	4.82E-05	2.18E-05	2.02E-05	4.29E-05	5.05E-05	3.04E-05	2.31E-05	5.25E-05	2.95E-05	1.82E-05	4.05E-05	2.07E-05	6.88E-05	2.46E-05	5.48E-05	3.25E-05	1.79E-05	4.50E-05	3.38E-05	1.83E-05	2.66E-05	3.70E-05	2.60E-05
Bacterial.invasion.of.epithelial.cells	1.39E-07	1.35E-06	5.98E-06	1.36E-06	5.23E-07	2.12E-06	6.76E-07	3.63E-07	9.77E-06	1.18E-07	1.19E-06	1.80E-06	4.46E-06	4.16E-06	6.42E-06	1.76E-06	6.90E-07	5.85E-07	3.15E-06	8.46E-07	2.36E-06	3.17E-06	1.78E-06	0.00013204	4.65E-06	4.96E-06	9.89E-05	9.63E-05	2.15E-06	3.98E-05	3.10E-05	8.60E-06	7.86E-06	7.81E-06	7.71E-06	0.000218704	2.14E-06	3.95E-05	1.14E-05	3.42E-06	0.000133934	7.11E-05	0.000257591	7.43E-06	5.15E-05	1.37E-05	3.07E-05	4.09E-06	3.53E-06	2.37E-05	2.49E-07
Lipoic.acid.metabolism	0.00010336	0.000116967	0.000169099	0.000165998	0.000165885	0.000122255	0.000183021	9.30E-05	0.000137231	0.000169318	0.000105506	0.00014348	8.89E-05	8.08E-05	6.65E-05	0.000104988	0.000109007	8.59E-05	7.50E-05	4.61E-05	0.000226306	7.98E-05	9.19E-05	0.000297582	0.000144827	0.000125596	0.000226138	0.00039165	7.38E-05	8.74E-05	7.98E-05	0.0002066	0.000174504	9.49E-05	4.34E-05	0.000386046	0.000142646	6.00E-05	0.000154664	0.000116372	0.000349036	0.000225234	0.000631084	0.000109717	0.00010698	0.000294229	0.000115346	5.97E-05	0.000127588	0.000121785	7.14E-05
Axon.guidance	1.86E-07	3.90E-07	2.49E-07	5.50E-07	4.03E-07	1.80E-07	3.72E-07	3.18E-07	3.76E-07	1.17E-06	2.56E-07	4.90E-07	1.17E-06	1.50E-05	3.46E-06	1.48E-06	2.86E-06	1.21E-06	2.62E-07	3.68E-06	5.83E-07	5.29E-07	2.32E-06	0	0	0	0	0	0	0	0	1.25E-08	1.22E-08	0	0	0	2.29E-08	0	2.12E-08	0	0	5.17E-09	0	0	0	3.41E-08	0	1.32E-08	2.05E-08	0	0
Melanogenesis	3.32E-07	1.37E-06	7.81E-07	1.13E-06	1.18E-06	4.05E-07	1.71E-06	9.27E-07	1.16E-06	4.33E-06	9.62E-07	2.21E-06	2.92E-06	5.21E-05	1.13E-05	5.29E-06	1.10E-05	5.11E-06	5.22E-07	1.32E-05	1.19E-06	8.06E-07	7.95E-06	0	0	7.92E-09	0	0	0	0	0	1.25E-08	1.22E-08	0	0	0	6.34E-08	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	4.31E-08	0	1.32E-08	5.72E-08	0	0
Chagas.disease..American.trypanosomiasis.	3.23E-06	8.29E-06	4.62E-06	3.04E-06	2.69E-06	3.43E-07	5.39E-06	2.41E-06	3.76E-06	5.98E-06	7.71E-06	2.96E-06	5.04E-06	6.65E-05	2.43E-05	6.09E-06	1.15E-05	8.97E-06	5.49E-06	1.16E-05	0.000140254	2.59E-06	7.54E-06	2.28E-05	8.02E-06	1.48E-05	4.43E-05	8.70E-05	1.80E-06	1.66E-05	8.81E-06	1.33E-05	1.42E-05	2.30E-05	7.22E-06	6.16E-05	8.29E-06	1.10E-05	1.43E-05	6.43E-07	6.89E-06	1.73E-05	7.04E-05	1.23E-06	2.53E-06	1.30E-06	7.56E-06	1.59E-06	3.48E-06	8.28E-06	1.60E-06
Protein.export	0.009879718	0.009423529	0.009741531	0.009681365	0.009598314	0.009157446	0.009851665	0.009111811	0.009814169	0.009824427	0.009708665	0.009685567	0.010002059	0.009989971	0.009409149	0.009689729	0.009443703	0.009444739	0.010024656	0.009217739	0.009818981	0.009974853	0.009896673	0.008767118	0.00865743	0.009263923	0.009127137	0.008718531	0.008345024	0.008981385	0.008717058	0.008574092	0.008269612	0.009565933	0.009283637	0.008206072	0.009724491	0.0099961	0.009440496	0.009612152	0.009224595	0.00957389	0.008810452	0.009068908	0.009659952	0.009398864	0.008981329	0.009655918	0.009385344	0.008703558	0.008771806
Glycosaminoglycan.degradation	0.000156163	0.000122994	6.82E-05	6.83E-05	7.56E-05	5.89E-05	0.000107962	9.80E-05	9.33E-05	8.63E-05	0.000114461	9.02E-05	6.78E-05	7.27E-05	8.85E-05	0.000112584	8.26E-05	9.72E-05	0.00010201	7.10E-05	6.28E-05	0.000131629	0.000101872	0.000102082	5.31E-05	9.58E-05	0.000489816	5.50E-05	0.000105783	0.000268247	0.000351634	0.000124654	0.000105911	0.000282911	0.000347411	6.93E-05	0.000209917	0.000354472	0.000134418	0.000209881	0.000270262	0.000223187	0.00040522	0.000103898	0.000459211	0.00020587	0.000255569	0.000344609	0.000372251	0.000291521	0.00012853
HTLV.I.infection	1.75E-05	1.52E-05	1.28E-05	1.89E-05	2.34E-05	1.39E-05	2.51E-05	9.23E-06	1.65E-05	1.45E-05	1.89E-05	4.19E-05	5.79E-05	0.000120154	4.31E-05	3.66E-05	3.98E-05	1.71E-05	8.86E-06	4.15E-05	1.43E-05	5.97E-06	2.52E-05	1.07E-05	1.32E-06	1.20E-07	0	1.92E-06	9.65E-08	3.32E-08	9.19E-07	1.00E-05	2.68E-06	8.59E-08	1.05E-07	3.10E-05	1.42E-06	1.46E-08	7.87E-06	4.43E-07	8.85E-08	1.25E-06	1.32E-07	5.39E-06	2.46E-07	1.94E-07	5.46E-06	6.53E-07	1.93E-06	5.81E-08	1.11E-06
Calcium.signaling.pathway	1.45E-07	9.84E-07	5.31E-07	5.82E-07	7.80E-07	2.24E-07	1.34E-06	6.09E-07	7.79E-07	3.16E-06	7.06E-07	1.72E-06	2.18E-06	3.71E-05	7.83E-06	3.81E-06	8.16E-06	3.90E-06	2.61E-07	9.83E-06	6.06E-07	5.63E-07	5.63E-06	0	0	7.92E-09	0	0	0	0	0	0	0	0	0	0	4.05E-08	0	1.86E-08	0	1.00E-08	9.17E-09	6.44E-09	0	0	9.01E-09	0	0	3.67E-08	0	0
Chemical.carcinogenesis	2.66E-06	2.33E-06	1.75E-05	2.83E-06	8.04E-06	2.99E-06	1.59E-06	1.84E-06	2.97E-06	2.36E-06	2.99E-06	6.22E-07	1.76E-06	1.99E-06	5.58E-06	2.65E-06	3.82E-06	8.70E-07	1.88E-06	2.01E-06	2.33E-06	2.97E-06	1.19E-06	3.00E-05	7.57E-06	1.50E-05	6.16E-05	0.000110371	1.81E-06	1.59E-05	9.20E-06	1.41E-05	1.58E-05	1.09E-05	6.89E-06	7.51E-05	5.03E-06	1.23E-05	9.48E-06	5.30E-07	1.27E-05	1.82E-05	8.98E-05	1.36E-06	6.11E-06	1.92E-06	7.02E-06	9.31E-07	1.85E-06	4.37E-06	5.79E-07
Vascular.smooth.muscle.contraction	2.69E-06	4.20E-06	3.07E-06	5.11E-06	5.44E-06	5.20E-06	1.08E-05	4.45E-06	7.73E-06	1.63E-05	3.29E-06	1.12E-05	1.23E-05	0.000182134	3.94E-05	1.69E-05	3.66E-05	1.50E-05	2.30E-06	4.21E-05	4.78E-06	6.77E-06	2.75E-05	4.75E-08	2.27E-08	7.92E-09	0	2.62E-08	0	0	2.97E-08	1.10E-07	0	5.82E-07	1.87E-08	1.13E-06	4.05E-08	0	5.93E-08	8.04E-08	1.00E-08	7.18E-08	6.44E-09	0	5.15E-07	9.01E-09	4.91E-08	0	4.69E-08	1.72E-08	4.71E-07
Pertussis	2.42E-05	2.62E-05	4.32E-05	2.14E-05	5.95E-05	4.46E-05	3.57E-05	1.84E-05	8.95E-05	4.51E-05	2.46E-05	2.90E-05	3.47E-05	4.49E-05	2.51E-05	2.67E-05	2.13E-05	1.02E-05	1.53E-05	1.80E-05	1.26E-05	3.07E-05	2.06E-05	0.001026341	7.22E-05	0.000125993	0.00091857	0.001289588	3.68E-05	0.00025566	0.000282814	0.000161922	0.000228972	9.68E-05	0.000180188	0.001935635	7.50E-05	0.000271511	0.000118683	2.02E-05	0.000440761	0.000491892	0.00217225	4.29E-05	0.000129829	0.000137776	0.00016102	7.21E-05	3.97E-05	0.000175126	3.97E-05
Primary.bile.acid.biosynthesis	0.000105316	0.000125656	7.42E-05	5.92E-05	3.55E-05	7.83E-05	7.91E-05	0.000244971	5.81E-05	6.09E-05	0.000133875	7.08E-05	5.96E-05	1.65E-05	8.52E-05	3.72E-05	3.61E-05	6.50E-05	4.58E-05	0.000130852	0.000237769	8.35E-05	3.37E-05	0.000426277	0.000446095	0.000472419	0.000170154	0.000339899	0.000365658	0.00021731	0.000312347	0.000367301	0.000347521	0.000248536	0.000354618	0.000366569	0.000350131	0.000223394	0.000332541	0.000258287	0.000298964	0.000214185	0.000129431	0.000279526	0.000196961	0.000410934	0.000258566	0.000252129	0.000218315	0.000336495	0.000338497
Cytosolic.DNA.sensing.pathway	2.85E-08	1.87E-07	3.53E-07	2.49E-07	1.45E-07	7.32E-08	5.70E-07	2.02E-07	3.50E-07	1.99E-06	4.58E-07	7.03E-07	5.56E-06	8.69E-06	2.48E-06	1.41E-06	2.17E-06	1.57E-06	1.55E-07	4.98E-06	2.35E-08	5.16E-08	1.58E-06	0	0	0	0	0	0	6.08E-08	0	0	0	0	0	4.33E-07	0	0	0	3.35E-08	0	2.16E-08	0	1.01E-07	0	0	0	7.25E-08	5.64E-08	4.31E-08	0
Nicotine.addiction	0	0	0	0	0	0	0	0	0	0	0	0	3.82E-06	0	0	3.35E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-06	0	0	0	0	0	0	0	0	0
Leukocyte.transendothelial.migration	7.25E-08	6.71E-07	4.88E-08	4.26E-07	2.54E-08	7.98E-08	2.85E-07	3.45E-07	1.27E-07	1.18E-07	2.13E-07	4.43E-07	1.44E-06	5.66E-07	1.76E-07	5.05E-07	3.18E-07	1.27E-07	6.58E-07	4.89E-07	7.97E-07	9.16E-07	8.14E-07	1.19E-07	1.27E-07	0	0	1.34E-08	2.92E-08	0	5.45E-08	2.31E-07	5.72E-07	3.51E-08	0	3.54E-08	0	1.64E-08	1.95E-07	1.64E-08	0	7.05E-08	0	3.43E-08	1.58E-08	7.06E-08	5.91E-07	1.64E-07	3.25E-07	4.93E-07	1.26E-08
Endocrine.and.other.factor.regulated.calcium.reabsorption	1.29E-06	2.85E-06	9.01E-07	1.58E-06	1.66E-06	7.20E-07	2.94E-06	1.36E-06	1.28E-06	9.09E-06	1.76E-06	4.16E-06	1.12E-05	7.46E-05	2.05E-05	1.13E-05	2.24E-05	8.78E-06	2.02E-06	1.59E-05	1.76E-06	2.47E-06	1.21E-05	8.52E-07	3.82E-07	5.13E-08	0	5.47E-08	0	0	1.97E-07	3.66E-06	2.60E-06	5.01E-08	0	7.36E-07	4.05E-08	2.43E-07	1.29E-06	2.31E-07	1.00E-08	1.74E-06	6.44E-09	0	0	1.11E-06	2.93E-06	2.43E-06	2.47E-06	2.97E-06	5.14E-08
Spliceosome	7.67E-06	1.61E-05	1.22E-05	2.06E-05	1.59E-05	8.57E-06	1.82E-05	9.02E-06	2.21E-05	4.30E-05	2.04E-05	4.18E-05	0.000198841	0.00049552	8.95E-05	6.68E-05	0.000147948	4.50E-05	2.53E-05	9.92E-05	3.04E-05	3.19E-05	9.70E-05	4.93E-06	5.44E-07	6.16E-07	3.84E-07	1.77E-06	5.18E-07	4.82E-08	2.17E-06	1.06E-05	2.07E-05	3.46E-06	2.51E-07	2.33E-06	4.18E-06	3.93E-07	1.95E-05	3.47E-06	5.10E-07	1.34E-06	2.12E-07	1.95E-06	3.64E-06	6.62E-06	8.06E-06	1.35E-05	2.95E-05	2.97E-05	5.02E-07
Chemokine.signaling.pathway	3.32E-07	1.24E-06	6.54E-07	8.65E-07	9.41E-07	4.05E-07	1.37E-06	8.82E-07	9.09E-07	3.56E-06	9.45E-07	1.87E-06	2.56E-06	4.68E-05	9.53E-06	4.81E-06	8.81E-06	3.98E-06	1.42E-06	1.02E-05	1.52E-06	1.62E-06	6.72E-06	0	0	7.92E-09	0	0	0	0	0	1.25E-08	1.22E-08	0	0	0	6.34E-08	0	3.98E-08	0	1.00E-08	1.43E-08	6.44E-09	0	0	4.31E-08	0	1.32E-08	5.72E-08	0	0
Basal.transcription.factors	0.000215903	0.000126961	0.000104183	0.000134772	0.000209609	0.000126526	0.000191465	0.000148643	0.000157773	9.85E-05	0.000171013	0.000409745	0.000414671	0.000218112	0.000208921	0.000224681	0.000133832	0.00011686	0.000100636	8.99E-05	0.00015109	0.000143881	0.000156775	2.43E-05	9.34E-06	2.38E-06	1.60E-06	8.63E-06	1.45E-06	6.20E-06	3.35E-06	9.99E-05	1.70E-05	2.51E-05	1.58E-06	9.32E-05	5.13E-05	1.23E-05	4.35E-05	2.58E-05	1.09E-06	9.75E-06	4.39E-07	0.000133708	1.09E-05	2.80E-06	0.000125511	5.55E-05	4.70E-05	1.00E-05	5.49E-06
Caprolactam.degradation	6.06E-06	1.79E-05	3.20E-05	1.94E-05	1.56E-05	2.49E-05	1.90E-05	1.56E-05	1.29E-05	1.47E-05	9.39E-06	8.37E-06	1.78E-05	1.33E-05	2.20E-05	3.99E-05	7.63E-05	4.38E-05	4.51E-05	5.00E-05	2.52E-05	3.70E-05	2.63E-05	1.18E-05	6.64E-06	5.13E-06	1.58E-05	4.29E-05	3.56E-05	7.52E-06	6.61E-06	6.66E-06	5.43E-06	4.92E-06	2.37E-06	2.75E-05	2.56E-06	4.05E-06	3.42E-06	1.52E-06	6.03E-06	6.55E-06	3.46E-05	2.46E-06	1.90E-06	1.84E-06	5.69E-06	2.82E-06	3.28E-06	2.68E-06	3.71E-06
Synaptic.vesicle.cycle	1.05E-06	1.46E-06	1.52E-06	1.81E-06	1.93E-06	6.88E-07	3.61E-06	1.07E-06	2.26E-06	6.63E-06	2.31E-06	6.97E-06	1.96E-05	7.49E-05	1.46E-05	1.23E-05	1.87E-05	1.09E-05	2.77E-06	2.10E-05	5.56E-06	3.78E-06	1.50E-05	2.29E-06	4.77E-07	6.67E-08	2.35E-07	3.83E-07	9.01E-07	0	7.66E-07	6.79E-06	8.35E-06	1.04E-07	7.45E-08	7.90E-07	6.66E-07	3.82E-07	4.12E-06	1.30E-06	2.86E-07	3.07E-06	5.72E-07	9.43E-08	0	1.58E-06	6.51E-06	5.29E-06	6.86E-06	6.55E-06	5.06E-07
PI3K.Akt.signaling.pathway	0.000310804	0.000286391	0.000303998	0.000330909	0.000342897	0.000356132	0.000311474	0.000296717	0.000331253	0.000314089	0.000299521	0.000355259	0.000434811	0.000536456	0.000324613	0.000328292	0.000322209	0.000301577	0.000280941	0.000314875	0.000253927	0.000287368	0.000317662	0.000254761	0.000289992	0.000219655	0.000176395	0.000175058	0.000206001	0.000222055	0.000244623	0.000296753	0.000282197	0.000226279	0.000225085	0.000249614	0.000282616	0.000214353	0.000282356	0.000281496	0.000157845	0.000266574	0.000172724	0.000307201	0.000238458	0.000304598	0.000314847	0.000252374	0.000282436	0.000238917	0.00022072
Metabolism.of.xenobiotics.by.cytochrome.P450	7.23E-06	5.93E-06	2.82E-05	8.16E-06	2.27E-05	1.22E-05	7.77E-06	7.28E-06	7.74E-06	1.39E-05	9.73E-06	2.64E-06	5.81E-06	1.01E-05	1.12E-05	6.14E-06	8.00E-06	8.27E-06	8.26E-06	1.69E-05	6.03E-05	9.92E-06	4.72E-06	4.18E-05	1.67E-05	3.61E-05	7.43E-05	0.000142681	3.76E-06	2.56E-05	1.95E-05	2.62E-05	3.04E-05	1.91E-05	1.57E-05	9.28E-05	1.47E-05	1.78E-05	2.47E-05	8.00E-06	4.14E-05	2.36E-05	0.000104936	2.43E-05	1.14E-05	4.15E-05	1.44E-05	6.25E-06	9.69E-06	9.90E-06	1.00E-05
Protein.digestion.and.absorption	0.000673094	0.000456894	0.000345451	0.000303821	0.000407979	0.000226506	0.000570452	0.000454411	0.000412168	0.000476689	0.0006053	0.000210868	0.000227629	0.000242527	0.000249499	0.000417039	0.000287237	0.000341952	0.000352863	0.000151964	0.000471908	0.000497974	0.000452259	0.000189562	7.17E-05	0.000311347	0.00082383	8.72E-05	0.000159422	0.000610666	0.000748887	0.000180716	0.000167024	0.000673	0.000687113	0.000125133	0.000531408	0.001009925	0.000446333	0.000657807	0.000359456	0.00054789	0.001086127	0.000401785	0.001148678	0.000592376	0.000633941	0.000901139	0.000933606	0.00060124	0.000168277
Xylene.degradation	0.000137817	0.000132645	0.000109376	0.00010896	0.000164496	0.00016577	0.000114671	0.000147547	0.000146698	0.00011622	0.000130622	0.000119997	0.000145615	0.000144471	0.000138846	0.000130725	0.000152825	0.000126688	0.000110225	0.000107774	0.000151083	0.00012838	0.000127041	0.000121378	0.000200754	0.000167491	0.000162618	0.000242455	0.000173368	0.000135585	0.00011566	0.000199106	0.000158588	0.000150013	0.000114392	0.0002412	0.000130472	0.000106238	0.000127028	9.11E-05	0.000168933	0.000104777	0.000163091	8.89E-05	9.08E-05	8.94E-05	0.000139489	0.000111855	0.000105721	0.000127492	0.00013791
Lipopolysaccharide.biosynthesis	0.004091326	0.003465741	0.003036212	0.002937685	0.003238512	0.00236502	0.003496745	0.0029357	0.003816638	0.003167602	0.003267087	0.002793048	0.0032521	0.003311103	0.002436352	0.003137875	0.003260422	0.002646491	0.002852949	0.002249008	0.001970047	0.003352603	0.003871334	0.002111717	0.001170134	0.003734586	0.007154267	0.002139491	0.000468607	0.005389675	0.004631972	0.00262774	0.002687487	0.005146818	0.005405845	0.00383247	0.00387	0.005196809	0.003150632	0.00515585	0.005377382	0.004979014	0.005722266	0.003175118	0.005531236	0.003215668	0.003369031	0.004830525	0.004450911	0.003646358	0.002213649
